"","age","country_now","country_origin","current_age","Do.you.speak.a.third.language.","L2","l3","l1","self_prof","sex","completed","exp_subject_id","participant","prolific_id"
"52",10,"Mexico","Mexico",23,"no","English",7,"Spanish",7,"Female","yes",288206,314757,"614a1e625dc267ba7fb33e91"
"53",12,"Mexico","Mexico",24,"no","English",7,"Spanish",4,"Female","yes",288204,314755,"613a6a075391518509c0d2a2"
"54",3,"Mexico","Mexico",25,"no","English",7,"Spanish",5,"Female","yes",288202,314753,"6151b2d26de38a63e9f71c50"
"55",18,"Mexico","Mexico",31,"no","English",7,"Spanish",5,"Female","yes",288201,314752,"6148abf5aa7405b307ef1574"
"56",19,"Mexico","Mexico",25,"no","English",7,"Spanish",5,"Male","yes",288197,314748,"6140d97bfa6fb0935da507c1"
"57",6,"Mexico","Mexico",24,"no","English",7,"Spanish",5,"Male","yes",288196,314747,"613a57930ab7b466296f3470"
"58",15,"Mexico","Mexico",19,"no","English",7,"Spanish",5,"Male","yes",288193,314744,"614ce3d74fbc9f59a60d037f"
"59",15,"Mexico","Mexico",21,"no","English",7,"Spanish",6,"Male","yes",288181,314727,"613a95a593a2e18613907cba"
"60",10,"Mexico","Mexico",26,"no","English",7,"Spanish",4,"Female","yes",285572,311348,"613a872e9b89cf9d06ddba0c"
"61",14,"Mexico","Mexico",18,"no","English",7,"Spanish",5,"Male","yes",284587,310318,"613ac27ad8c368514291715c"
"62",11,"Mexico","Mexico",23,"no","English",7,"Spanish",6,"Female","yes",282843,308487,"613a7c43c131b1c2caf33fd0"
"63",6,"Mexico","Mexico",24,"no","English",7,"Spanish",6,"Female","yes",282785,308427,"613d17189f701e7a75b88d68"
"64",13,"Mexico","Mexico",22,"no","English",7,"Spanish",4,"Female","yes",282741,308379,"613a55bae189f49f6f0d441c"
"65",22,"Mexico","Mexico",25,"no","English",7,"Spanish",5,"Female","yes",282422,308018,"6140dda66a40f11ed4cd480b"
"66",13,"Mexico","Mexico",18,"no","English",7,"Spanish",6,"Male","yes",282416,308010,"613d2ac2edd9c22a0046620b"
"67",16,"Mexico","Mexico",23,"no","English",7,"Spanish",4,"Female","yes",282414,308008,"613da4818ce57eac6168834e"
"68",11,"Mexico","Mexico",24,"no","English",7,"Spanish",6,"Male","yes",282406,307999,"613abc231e3ea48219614e30"
"69",11,"Mexico","Mexico",24,"no","English",7,"Spanish",6,"Male","yes",282403,307996,"613abc231e3ea48219614e30"
"70",8,"Mexico","Mexico",26,"no","English",7,"Spanish",5,"Male","yes",282402,307995,"6140de5c6749dcba4caccaf"
"71",18,"Mexico","Mexico",21,"no","English",7,"Spanish",5,"Male","yes",282394,307986,"6140ec6f5e9d0a6db7499f31"
"72",8,"Mexico","Mexico",19,"no","English",7,"Spanish",5,"Male","yes",282391,307983,"613b85d4984fc773849f75f3"
"73",5,"Mexico","Mexico",21,"no","English",7,"Spanish",7,"Female","yes",282390,307982,"613bc7f851aaeed5e879f7cb"
"74",8,"Mexico","Mexico",22,"no","English",7,"Spanish",5,"Prefer not to say","yes",282375,307964,"613ad089983f33fc8194d601"
"75",13,"Mexico","Mexico",25,"no","English",7,"Spanish",4,"Female","yes",282364,307953,"613a65aaf5d6e392ce2aacab"
"76",19,"Mexico","Mexico",21,"no","English",7,"Spanish",5,"Prefer not to say","yes",282360,307949," 613b00924d4419a87c31893c"
"77",17,"Mexico","Mexico",25,"no","English",7,"Spanish",5,"Male","yes",282359,307948,"613a8ff1fc43b40c538c2a3d"
"78",18,"Mexico","Mexico",21,"no","English",7,"Spanish",4,"Male","yes",282356,307945," 613cfaecee50fc5d702c9cfc"
"79",12,"Mexico","Mexico",21,"no","English",7,"Spanish",4,"Male","yes",282355,307944,"613a668874cac331792b4555"
"80",20,"Mexico","Mexico",26,"no","English",7,"Spanish",5,"Female","yes",282353,307942,"613d4999d6cec3e6772576d0"
"81",14,"Mexico","Mexico",26,"no","English",7,"Spanish",4,"Female","yes",282351,307940,"613f6b1630971f18562691f9"
"82",11,"Mexico","Mexico",20,"no","English",7,"Spanish",4,"Female","yes",282349,307938,"613a910e82b0ecfeae1fc7b5"
"83",19,"Mexico","Mexico",23,"no","English",7,"Spanish",5,"Female","yes",282348,307937,"613cf17dc97ebd1bc5fe8b2c"
"84",15,"Mexico","Mexico",25,"no","English",7,"Spanish",5,"Male","yes",282346,307935,"613a4d63e81ab05466f8db5c"
"85",14,"Mexico","Mexico",25,"no","English",7,"Spanish",4,"Male","yes",282345,307934,"613a9a261d70c5ef7d990f5c"
