"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"int_model",4,-4629.15589840035,-4608.41132118226,2318.57794920018,-4637.15589840035,NA,NA,NA
"model1",6,-4645.12858584665,-4614.01172001952,2328.56429292333,-4657.12858584665,19.9726874463004,2,4.6024176514027e-05
"model2",8,-4669.67525218194,-4628.18609774576,2342.83762609097,-4685.67525218194,28.5466663352854,2,6.32659693960453e-07
"model3",12,-4667.52840313032,-4605.29467147605,2345.76420156516,-4691.52840313032,5.85315094838643,4,0.210386742970883
