"","X","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms","vowel","sp_eng_p","fr_sp_p","fr_eng_p","relative_vot_z"
"1",51,314860,"t","MAU","tiro",0.701713327149284,0.0180686738954225,0.0257493668658492,"spanish",18.0686738954225,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.14127276007424
"2",52,314860,"t","MAU","tema",0.719159320887809,0.0165241963260618,0.0229771009651416,"spanish",16.5241963260618,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.18725613317342
"3",53,314860,"t","MAU","talla",0.687086817259415,0.0243918886403449,0.0355004462720401,"spanish",24.3918886403449,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.979532314347115
"4",54,314860,"k","MAU","quiso",0.67390223521814,0.06111608783008,0.0906898428824724,"spanish",61.11608783008,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.0641098020952612
"5",55,314860,"k","MAU","queja",0.660308872703789,0.0268664681400688,0.0406877285020535,"spanish",26.8664681400688,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.893491240836617
"6",56,314860,"p","MAU","piso",0.645091399971297,0.0164070034443169,0.025433610562855,"spanish",16.4070034443169,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.14651018693337
"7",57,314860,"p","MAU","pena",0.5113598740209,0.0128551825450728,0.0251392086046771,"spanish",12.8551825450728,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.15139341082635
"8",58,314860,"p","MAU","pato",0.719082526613226,0.0125410969775896,0.0174404140184804,"spanish",12.5410969775896,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.27909275733587
"9",59,314860,"k","MAU","cama",0.650222134634395,0.0419269419364952,0.0644809515137003,"spanish",41.9269419364952,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.498834779240638
"10",60,314860,"t","MAU","tipping",0.770768703358209,0.0952192164179104,0.12353799006504,"english",95.2192164179104,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,0.480740028913775
"11",61,314860,"t","MAU","teller",0.794932326349024,0.106352540183697,0.133788168701296,"english",106.352540183697,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,0.650758997312101
"12",62,314860,"t","MAU","tacky",0.744925366676234,0.0865762413892077,0.116221362920557,"english",86.5762413892077,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,0.359379665996767
"13",63,314860,"p","MAU","penny",0.597505970788886,0.0253894640362951,0.0424924022144471,"english",25.3894640362951,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.863557249072664
"14",64,314860,"p","MAU","pass",0.7,0.0713244510619977,0.101892072945711,"english",71.3244510619977,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,0.121700774159068
"15",65,314860,"p","MAU","parrot",0.765127188576349,0.0189852468427094,0.0248131907036721,"english",18.9852468427094,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.1568010460662
"16",66,314860,"k","MAU","kitten",0.497852382319174,0.0457052238805972,0.0918047708593579,"english",45.7052238805972,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.0456165727384561
"17",67,314860,"k","MAU","kennel",0.810080884041332,0.0956293915040183,0.118049189146326,"english",95.6293915040183,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,0.389697686818125
"18",68,314860,"k","MAU","cabbage",0.907274347014926,0.107274347014926,0.118238047144036,"english",107.274347014926,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,0.392830260706238
"19",69,314860,"t","MAU","tir",0.662797285884749,0.0354001065747866,0.0534101562101783,"french",35.4001065747866,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.682465256683844
"20",70,314860,"t","MAU","terre",0.593852945608496,0.0344547072330654,0.0580189211619741,"french",34.4547072330654,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.606020007239792
"21",71,314860,"t","MAU","tasse",0.686376180479514,0.0288294489092997,0.0420024029522105,"french",28.8294489092997,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.871684831238572
"22",72,314860,"k","MAU","quitte",0.592618685419059,0.0773473019517796,0.13051782512913,"french",77.3473019517796,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,0.596514046060124
"23",73,314860,"k","MAU","quelle",0.554327748277842,0.0673859070034444,0.121563293940806,"french",67.3859070034444,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,0.447985887756186
"24",74,314860,"p","MAU","pile",0.67462722086682,0.0128101027573021,0.0189884166560053,"french",12.8101027573021,"i",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.25341615004447
"25",75,314860,"p","MAU","pere",0.83610936782434,0.033487865958668,0.0400520162162608,"french",33.487865958668,"e",0.00178496974998994,0.229784238806919,0.0874487186952452,-0.904035754338685
"26",76,314860,"p","MAU","patte",0.705603889207807,0.0137115671641791,0.0194323860368362,"french",13.7115671641791,"a",0.00178496974998994,0.229784238806919,0.0874487186952452,-1.24605206217752
"27",172,314845,"t","MAU","tiro",0.386898123564868,0.0168464767508612,0.0435424100681549,"spanish",16.8464767508612,"i",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.846140845082777
"28",173,314845,"t","MAU","tema",0.397127484509095,0.0184578788748565,0.0464784725178944,"spanish",18.4578788748565,"e",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.797440590524081
"29",174,314845,"t","MAU","talla",0.363040524540758,0.0125103401262915,0.0344598998751363,"spanish",12.5103401262915,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-0.996791781840337
