"","X","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms","vowel","sp_eng_p","fr_sp_p","fr_eng_p"
"1",26,314861,"t","MAU","tir",0.34755325578794,0.028338547313471,0.0815372805218716,"french",28.338547313471,"i",0.809881870061948,0.487278072703793,0.58534454784021
"2",27,314861,"t","MAU","terre",0.566014414466131,0.0239073478760046,0.0422380548356779,"french",23.9073478760046,"e",0.809881870061948,0.487278072703793,0.58534454784021
"3",28,314861,"t","MAU","tasse",0.383305932978255,0.0160048846011591,0.0417548574758614,"french",16.0048846011591,"a",0.809881870061948,0.487278072703793,0.58534454784021
"4",29,314861,"k","MAU","quitte",0.484083596440873,0.0791051951779563,0.163412261352298,"french",79.1051951779563,"i",0.809881870061948,0.487278072703793,0.58534454784021
"5",30,314861,"k","MAU","quelle",0.460235304247991,0.0602353042479908,0.130879364733684,"french",60.2353042479908,"e",0.809881870061948,0.487278072703793,0.58534454784021
"6",31,314861,"p","MAU","pile",0.502304334098737,0.031173306544202,0.0620605963914983,"french",31.173306544202,"i",0.809881870061948,0.487278072703793,0.58534454784021
"7",32,314861,"p","MAU","pere",0.532464940319285,0.023976605370821,0.0450294536884322,"french",23.976605370821,"e",0.809881870061948,0.487278072703793,0.58534454784021
"8",33,314861,"p","MAU","patte",0.475291708115324,0.0379429294155754,0.0798308255072041,"french",37.9429294155754,"a",0.809881870061948,0.487278072703793,0.58534454784021
"9",34,314861,"t","MAU","tipping",0.545437638364605,0.0464810108957104,0.0852178280821896,"english",46.4810108957104,"i",0.809881870061948,0.487278072703793,0.58534454784021
"10",35,314861,"t","MAU","teller",0.358502454075775,0.0302357634902411,0.0843390697790043,"english",30.2357634902411,"e",0.809881870061948,0.487278072703793,0.58534454784021
"11",36,314861,"t","MAU","tacky",0.484277540183697,0.0485178530424799,0.100186048322778,"english",48.5178530424799,"a",0.809881870061948,0.487278072703793,0.58534454784021
"12",37,314861,"p","MAU","penny",0.277108323765786,0.0196884041331802,0.0710494865892983,"english",19.6884041331802,"e",0.809881870061948,0.487278072703793,0.58534454784021
"13",38,314861,"p","MAU","pass",0.450020556032936,0.0156053368157738,0.0346769422120168,"english",15.6053368157738,"a",0.809881870061948,0.487278072703793,0.58534454784021
"14",39,314861,"k","MAU","kitten",0.394169883754305,0.044240312858783,0.112236664144435,"english",44.240312858783,"i",0.809881870061948,0.487278072703793,0.58534454784021
"15",40,314861,"k","MAU","kennel",0.333672502870264,0.040783122847302,0.122225003548341,"english",40.783122847302,"e",0.809881870061948,0.487278072703793,0.58534454784021
"16",41,314861,"k","MAU","cabbage",0.631641618828932,0.0768785304247991,0.121712262354296,"english",76.8785304247991,"a",0.809881870061948,0.487278072703793,0.58534454784021
"17",42,314861,"t","MAU","tiro",0.294235278636404,0.0182794932791663,0.0621254302471149,"spanish",18.2794932791663,"i",0.809881870061948,0.487278072703793,0.58534454784021
"18",43,314861,"t","MAU","tema",0.315889441370192,0.0546274973798077,0.172932330827068,"spanish",54.6274973798077,"e",0.809881870061948,0.487278072703793,0.58534454784021
"19",44,314861,"t","MAU","talla",0.365449009758898,0.0209775258323767,0.057402059582037,"spanish",20.9775258323767,"a",0.809881870061948,0.487278072703793,0.58534454784021
"20",45,314861,"k","MAU","quiso",0.393760017706839,0.0313490958668197,0.0796147258662499,"spanish",31.3490958668197,"i",0.809881870061948,0.487278072703793,0.58534454784021
"21",46,314861,"k","MAU","queja",0.34579775401837,0.0369157577497129,0.106755342742197,"spanish",36.9157577497129,"e",0.809881870061948,0.487278072703793,0.58534454784021
"22",47,314861,"p","MAU","piso",0.315702009184845,0.0356266360505166,0.112848936699852,"spanish",35.6266360505166,"i",0.809881870061948,0.487278072703793,0.58534454784021
"23",48,314861,"p","MAU","pena",0.230488074052813,0.0207431400688862,0.0899965872600126,"spanish",20.7431400688862,"e",0.809881870061948,0.487278072703793,0.58534454784021
"24",49,314861,"p","MAU","pato",0.354717243111366,0.0166999856486797,0.0470797120044052,"spanish",16.6999856486797,"a",0.809881870061948,0.487278072703793,0.58534454784021
"25",50,314861,"k","MAU","cama",0.436138666044776,0.0574831084959816,0.131800074084878,"spanish",57.4831084959816,"a",0.809881870061948,0.487278072703793,0.58534454784021
"26",152,314847,"p","MAU","penny",0.515619692104441,0.0532627870264063,0.103298589720304,"english",53.2627870264063,"e",0.191955361475404,0.226115165412997,0.593899684287097
"27",153,314847,"p","MAU","pass",0.639980217376672,0.066740368786834,0.104285049716705,"english",66.740368786834,"a",0.191955361475404,0.226115165412997,0.593899684287097
"28",154,314847,"p","MAU","parrot",0.392703072359671,0.0138630346036814,0.0353015689955807,"english",13.8630346036814,"a",0.191955361475404,0.226115165412997,0.593899684287097
"29",155,314847,"t","MAU","tir",0.463291418261876,0.0471994331228472,0.101878496476202,"french",47.1994331228472,"i",0.191955361475404,0.226115165412997,0.593899684287097
"30",156,314847,"t","MAU","terre",0.5185911760907,0.0141510404707234,0.0272874686711761,"french",14.1510404707234,"e",0.191955361475404,0.226115165412997,0.593899684287097
"31",157,314847,"t","MAU","tasse",0.416815219575201,0.0119127726750861,0.0285804647134215,"french",11.9127726750861,"a",0.191955361475404,0.226115165412997,0.593899684287097
"32",158,314847,"k","MAU","quitte",0.469175267625728,0.0842333221046582,0.179534873035663,"french",84.2333221046582,"i",0.191955361475404,0.226115165412997,0.593899684287097
"33",159,314847,"k","MAU","quelle",0.514740739810563,0.0447407398105626,0.0869189794983554,"french",44.7407398105626,"e",0.191955361475404,0.226115165412997,0.593899684287097
"34",160,314847,"p","MAU","pile",0.542147158438576,0.0121471584385764,0.0224056480782102,"french",12.1471584385764,"i",0.191955361475404,0.226115165412997,0.593899684287097
"35",161,314847,"p","MAU","pere",0.363075624282434,0.0112505166475316,0.0309867033066916,"french",11.2505166475316,"e",0.191955361475404,0.226115165412997,0.593899684287097
"36",162,314847,"p","MAU","patte",0.452645890461036,0.0150783912535256,0.0333116715986701,"french",15.0783912535256,"a",0.191955361475404,0.226115165412997,0.593899684287097
"37",163,314847,"t","MAU","tiro",0.431756974741676,0.0185164753157291,0.0428863374513119,"spanish",18.5164753157291,"i",0.191955361475404,0.226115165412997,0.593899684287097
"38",164,314847,"t","MAU","tema",0.428725297789897,0.0117192881745121,0.0273351916365226,"spanish",11.7192881745121,"e",0.191955361475404,0.226115165412997,0.593899684287097
"39",165,314847,"t","MAU","talla",0.388886208381171,0.0103129735935706,0.0265192577450889,"spanish",10.3129735935706,"a",0.191955361475404,0.226115165412997,0.593899684287097
"40",166,314847,"k","MAU","quiso",0.450800696039036,0.0271008539035591,0.0601171518626324,"spanish",27.1008539035591,"i",0.191955361475404,0.226115165412997,0.593899684287097
"41",167,314847,"k","MAU","queja",0.49827140499426,0.0186336681974743,0.0373966236286205,"spanish",18.6336681974743,"e",0.191955361475404,0.226115165412997,0.593899684287097
"42",168,314847,"p","MAU","piso",0.448363583524685,0.0143561280137773,0.0320189429768596,"spanish",14.3561280137773,"i",0.191955361475404,0.226115165412997,0.593899684287097
"43",169,314847,"p","MAU","pena",0.483084701492537,0.0130847014925373,0.0270857293806051,"spanish",13.0847014925373,"e",0.191955361475404,0.226115165412997,0.593899684287097
"44",170,314847,"p","MAU","pato",0.439830369814094,0.0105387392156473,0.0239609175239576,"spanish",10.5387392156473,"a",0.191955361475404,0.226115165412997,0.593899684287097
"45",171,314847,"k","MAU","cama",0.401308653846154,0.0234385763490241,0.0584053598754678,"spanish",23.4385763490241,"a",0.191955361475404,0.226115165412997,0.593899684287097
"46",195,314841,"t","MAU","tipping",0.606668147244546,0.0335464623995407,0.055296231641478,"english",33.5464623995407,"i",0.804749632686773,0.532674013033025,0.415410348507996
"47",196,314841,"t","MAU","teller",0.446202893869296,0.0428632964982778,0.0960623453751816,"english",42.8632964982778,"e",0.804749632686773,0.532674013033025,0.415410348507996
"48",197,314841,"t","MAU","tacky",0.534764466130884,0.0464083811710678,0.0867828438692659,"english",46.4083811710678,"a",0.804749632686773,0.532674013033025,0.415410348507996
"49",198,314841,"p","MAU","penny",0.239890965843858,0.0166999856486797,0.0696149002107463,"english",16.6999856486797,"e",0.804749632686773,0.532674013033025,0.415410348507996
"50",199,314841,"p","MAU","pass",0.628053019517796,0.02197366532721,0.034986959132974,"english",21.97366532721,"a",0.804749632686773,0.532674013033025,0.415410348507996
"51",200,314841,"p","MAU","parrot",0.347996806831228,0.0180477037887485,0.0518616936548539,"english",18.0477037887485,"a",0.804749632686773,0.532674013033025,0.415410348507996
"52",201,314841,"k","MAU","kennel",0.460760835246843,0.0773473019517795,0.167868655569092,"english",77.3473019517795,"e",0.804749632686773,0.532674013033025,0.415410348507996
"53",202,314841,"k","MAU","cabbage",0.657597545924225,0.0745346727898967,0.113343903504295,"english",74.5346727898967,"a",0.804749632686773,0.532674013033025,0.415410348507996
"54",203,314841,"t","MAU","tir",0.333976760907003,0.0342789179104478,0.10263863215319,"french",34.2789179104478,"i",0.804749632686773,0.532674013033025,0.415410348507996
"55",204,314841,"t","MAU","terre",0.576678157120587,0.0328140068886338,0.0569017683147173,"french",32.8140068886338,"e",0.804749632686773,0.532674013033025,0.415410348507996
"56",205,314841,"t","MAU","tasse",0.656187399540758,0.0222666475315729,0.0339333665156578,"french",22.2666475315729,"a",0.804749632686773,0.532674013033025,0.415410348507996
