"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"int_model",4,-1627.59640387982,-1611.28583490643,817.798201939911,-1635.59640387982,NA,NA,NA
"model1",6,-1648.18428054436,-1623.71842708427,830.092140272182,-1660.18428054436,24.5878766645419,2,4.5794194190595e-06
"model2",8,-1670.74666538494,-1638.12552743815,843.373332692472,-1686.74666538494,26.5623848405803,2,1.7062843944615e-06
"model3",12,-1664.70822109929,-1615.7765141791,844.354110549646,-1688.70822109929,1.96155571434792,4,0.74282987382283
