"","X","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms","sp_eng_p","fr_sp_p","fr_eng_p","relative_vot_z"
"1",1,314864,"t","MAU","tiro",0.441912772675086,0.0253136624569461,0.0572820339717989,"spanish",25.3136624569461,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.623769355924595
"2",2,314864,"t","MAU","tema",0.399655747893015,0.0196557478930148,0.0491816969895715,"spanish",19.6557478930148,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.758457402183312
"3",3,314864,"t","MAU","talla",0.40101429391504,0.0115362438843974,0.0287676625483119,"spanish",11.5362438843974,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.09789098638901
"4",4,314864,"k","MAU","quiso",0.550628763633754,0.0270715556831229,0.0491648048032763,"spanish",27.0715556831229,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.758738276370909
"5",5,314864,"p","MAU","piso",0.478836160878301,0.0114849024110217,0.0239850356956243,"spanish",11.4849024110217,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.17741393317336
"6",6,314864,"p","MAU","pena",0.459444001148106,0.0171101607347877,0.0372410145567927,"spanish",17.1101607347877,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.957000646914414
"7",7,314864,"p","MAU","pato",0.478090467135476,0.00914104477611943,0.0191199059686106,"spanish",9.14104477611943,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.25830869337462
"8",8,314864,"k","MAU","cama",0.416121972385283,0.0312452402346762,0.0750867349195071,"spanish",31.2452402346762,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.327722365518013
"9",9,314864,"t","MAU","tir",0.420487444446577,0.0263683983926521,0.0627091218558423,"french",26.3683983926521,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.533530657759328
"10",10,314864,"t","MAU","terre",0.466601260337794,0.0149713906429392,0.0320860484433769,"french",14.9713906429392,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.04271465064898
"11",11,314864,"t","MAU","tasse",0.55613171641791,0.0150006888633755,0.0269732662614463,"french",15.0006888633755,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.12772724266108
"12",12,314864,"k","MAU","quitte",0.470864067881745,0.0570436351894373,0.121146715327115,"french",57.0436351894373,0.00256279166094876,0.15505012777032,0.0195251427762702,0.43813821354516
"13",13,314864,"k","MAU","quelle",0.646646501865672,0.0766465018656716,0.118529214407771,"french",76.6465018656716,0.00256279166094876,0.15505012777032,0.0195251427762702,0.394615816183131
"14",14,314864,"p","MAU","pile",0.721309113088404,0.0643388920780712,0.0891973925056812,"french",64.3388920780712,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.0930979411419128
"15",15,314864,"p","MAU","pere",0.498470828624964,0.0153815657290471,0.0308575042826023,"french",15.3815657290471,0.00256279166094876,0.15505012777032,0.0195251427762702,-1.06314222213401
"16",16,314864,"p","MAU","patte",0.503855623698873,0.0234218606486797,0.0464852619421742,"french",23.4218606486797,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.803292273768817
"17",17,314864,"t","MAU","tipping",0.578086768082664,0.0580867680826637,0.100481054557467,"english",58.0867680826637,0.00256279166094876,0.15505012777032,0.0195251427762702,0.0945207220980404
"18",18,314864,"t","MAU","teller",0.551143089839265,0.0811430898392652,0.147226902296697,"english",81.1430898392652,0.00256279166094876,0.15505012777032,0.0195251427762702,0.871785534230967
"19",19,314864,"t","MAU","tacky",0.674238475889782,0.0853164179104478,0.126537450711126,"english",85.3164179104478,0.00256279166094876,0.15505012777032,0.0195251427762702,0.527772461893496
"20",20,314864,"p","MAU","penny",0.511013019484967,0.0457052238805969,0.0894404293782216,"english",45.7052238805969,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.0890568547521596
"21",21,314864,"p","MAU","pass",0.628172146719468,0.0222373493111366,0.0354000880606817,"english",22.2373493111366,0.00256279166094876,0.15505012777032,0.0195251427762702,-0.987610582477726
"22",22,314864,"p","MAU","parrot",0.579850692451206,0.0763804606773825,0.131724358825026,"english",76.3804606773825,0.00256279166094876,0.15505012777032,0.0195251427762702,0.614017580030863
"23",23,314864,"k","MAU","kitten",0.504290793628014,0.107785167910448,0.213736140481586,"english",107.785167910448,0.00256279166094876,0.15505012777032,0.0195251427762702,1.97766537218496
