"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"int_model",4,-3023.85070068227,-3004.70835010224,1515.92535034113,-3031.85070068227,NA,NA,NA
"model1",6,-3038.32026820144,-3009.60674233139,1525.16013410072,-3050.32026820144,18.4695675191692,2,9.7585293272299e-05
"model2",8,-3061.05001303171,-3022.76531187164,1538.52500651585,-3077.05001303171,26.7297448302679,2,1.56931331206393e-06
"model3",12,-3060.37013083387,-3002.94307909378,1542.18506541694,-3084.37013083387,7.32011780216635,4,0.119907962060858
