"","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms"
"1","314864","t","MAU","tiro",0.51,0.08,0.156862745098039,"spanish",80
"2","314864","t","MAU","tema",0.42,0.04,0.0952380952380953,"spanish",40
"3","314864","t","MAU","talla",0.47,0.0800000000000001,0.170212765957447,"spanish",80.0000000000001
"4","314864","k","MAU","quiso",0.61,0.0700000000000001,0.114754098360656,"spanish",70.0000000000001
"5","314864","k","MAU","queja",0.55,0.0599999999999999,0.109090909090909,"spanish",59.9999999999999
"6","314864","p","MAU","piso",0.551333,0.0699999999999998,0.126965010256959,"spanish",69.9999999999998
"7","314864","p","MAU","pena",0.528,0.0800000000000001,0.151515151515152,"spanish",80.0000000000001
"8","314864","p","MAU","pato",0.58,0.03,0.0517241379310345,"spanish",30
"9","314864","k","MAU","cama",0.31,0.1,0.322580645161291,"spanish",100
"10","314864","t","MAU","tir",0.38,0.09,0.236842105263158,"french",90
"11","314864","t","MAU","terre",0.4,0.0700000000000001,0.175,"french",70.0000000000001
"12","314864","t","MAU","tasse",0.62,0.08,0.129032258064516,"french",80
"13","314864","k","MAU","quitte",0.53,0.11,0.207547169811321,"french",110
"14","314864","k","MAU","quelle",0.68,0.11,0.161764705882353,"french",110
"15","314864","p","MAU","pile",0.74,0.0600000000000001,0.0810810810810812,"french",60.0000000000001
"16","314864","p","MAU","pere",0.48,0.0700000000000001,0.145833333333333,"french",70.0000000000001
"17","314864","p","MAU","patte",0.42,0.09,0.214285714285714,"french",90
"18","314864","t","MAU","tipping",0.6,0.08,0.133333333333333,"english",80
"19","314864","t","MAU","teller",0.61,0.14,0.229508196721312,"english",140
"20","314864","t","MAU","tacky",0.74,0.14,0.189189189189189,"english",140
"21","314864","p","MAU","penny",0.71,0.0599999999999999,0.0845070422535211,"english",59.9999999999999
"22","314864","p","MAU","pass",0.31,0.11,0.354838709677419,"english",110
"23","314864","p","MAU","parrot",0.59,0.11,0.186440677966102,"english",110
"24","314864","k","MAU","kitten",0.59,0.13,0.220338983050847,"english",130
"25","314864","k","MAU","kennel",0.47,0.13,0.276595744680851,"english",130
"26","314864","k","MAU","cabbage",0.84,0.11,0.130952380952381,"english",110
"27","314861","t","MAU","tir",0.53,0.16,0.30188679245283,"french",160
"28","314861","t","MAU","terre",0.43,0.04,0.0930232558139536,"french",40
"29","314861","t","MAU","tasse",0.64,0.0299999999999999,0.0468749999999999,"french",29.9999999999999
"30","314861","k","MAU","quitte",0.5,0.1,0.2,"french",100
"31","314861","k","MAU","quelle",0.48,0.08,0.166666666666667,"french",80
"32","314861","p","MAU","pile",0.53,0.0399999999999999,0.0754716981132074,"french",39.9999999999999
"33","314861","p","MAU","pere",0.56,0.0299999999999999,0.0535714285714284,"french",29.9999999999999
"34","314861","p","MAU","patte",0.44,0.07,0.159090909090909,"french",70
"35","314861","t","MAU","tipping",0.5,0.03,0.0600000000000001,"english",30
"36","314861","t","MAU","teller",0.27,0.06,0.222222222222222,"english",60
"37","314861","t","MAU","tacky",0.51,0.0599999999999999,0.117647058823529,"english",59.9999999999999
"38","314861","p","MAU","penny",0.34,0.08,0.235294117647059,"english",80
"39","314861","p","MAU","pass",0.18,0.04,0.222222222222222,"english",40
"40","314861","p","MAU","parrot",0.32,0.04,0.125,"english",40
"41","314861","k","MAU","kitten",0.42,0.05,0.119047619047619,"english",50
"42","314861","k","MAU","kennel",0.36,0.08,0.222222222222222,"english",80
"43","314861","k","MAU","cabbage",0.65,0.08,0.123076923076923,"english",80
"44","314861","t","MAU","tiro",0.29,0.03,0.103448275862069,"spanish",30
"45","314861","t","MAU","tema",0.31,0.1,0.32258064516129,"spanish",100
"46","314861","t","MAU","talla",0.39,0.04,0.102564102564103,"spanish",40
"47","314861","k","MAU","quiso",0.32,0.05,0.15625,"spanish",50
"48","314861","k","MAU","queja",0.34,0.0599999999999999,0.176470588235294,"spanish",59.9999999999999
"49","314861","p","MAU","piso",0.38,0.08,0.210526315789474,"spanish",80
