"","text","tier_name","word","duration","vot","relative_vot","vot_ms"
"1","t","MAU","tir",0.264584941877153,0.0392596153846154,0.148381896211024,39.2596153846154
"2","t","MAU","terre",0.32802725315729,0.0221494546498278,0.0675232147226713,22.1494546498278
"3","t","MAU","tasse",0.443163289322618,0.0157038461538462,0.0354358010516841,15.7038461538462
"4","k","MAU","quitte",0.561811066354944,0.0508617106773823,0.0905316995754025,50.8617106773823
"5","k","MAU","quelle",0.360043717709529,0.0284192738231917,0.0789328418337226,28.4192738231917
"6","p","MAU","pile",0.453485110505166,0.0163484070034443,0.0360505926759817,16.3484070034443
"7","p","MAU","pere",0.516520778461297,0.012530730339543,0.0242598765859367,12.530730339543
"8","p","MAU","patte",0.476266281564552,0.0142568695074724,0.0299346606285838,14.2568695074724
