"","country_now","country_origin","eng","completed","exp_subject_id","participant","prolific_id"
"1","Mexico","Mexico","no","yes",296687,324255,"614a6f434102c490f34f99e3"
"2","Mexico","Mexico","no","yes",296681,324249,"613a4c3fda88a247f6b57d28"
"3","Mexico","Mexico","no","yes",296671,324239,"613e6d88cd68a3b251de7c26"
"4","Mexico","Mexico","no","yes",296636,324203,"613aa40f1e0b69d1fb8e1774"
"5","Mexico","Mexico","no","yes",296663,324231,"614a134c1cc020eebabac2b2"
"6","Mexico","Mexico","no","yes",296658,324226,"61453be84f4fdcbe12189aea"
"7","Mexico","Mexico","no","yes",296657,324225,"613f40aa8192335112c768c9"
"8","Mexico","Mexico","no","yes",296656,324224,"613a6a075391518509c0d2a2"
"9","Mexico","Mexico","no","yes",296652,324219,"6143fce3f32125a7e2811fbd"
"10","Mexico","Mexico","no","yes",296646,324213,"61390220e2050f8b8bf41f27"
"11","Mexico","Mexico","no","yes",296612,324178,"613d398018d33fdb9701ed19"
"12","Mexico","Mexico","no","yes",296626,324192,"6164500233905f2bcfe"
"13","Mexico","Mexico","no","yes",296623,324189,"613bbed881645eb700fc1a0b"
"14","Mexico","Mexico","no","yes",296619,324185,"613a78cf2dfb50e6ed729"
"15","Mexico","Mexico","no","yes",296617,324183,"615c8b31134c47d27067a9eb"
"16","Mexico","Mexico","no","yes",296606,324171,"61475ceec9cea78cda3c01df"
"17","Mexico","Mexico","no","yes",296601,324166,"616506735d8ad5ee58ce8cca"
"18","Mexico","Mexico","no","yes",296600,324165,"613f815717e0bb4022a4db58"
"19","Mexico","Mexico","no","yes",296599,324164,"613b81344fd40cac79db6792"
"20","Mexico","Mexico","no","yes",296598,324163,"614218550ec453caa7dce2f3"
"21","Mexico","Mexico","no","yes",296585,324150,"6166ec5002b7456fa9df9439"
"22","Mexico","Mexico","no","yes",296584,324149,"616293dd5f4c562d7a874ad5"
"23","Mexico","Mexico","no","yes",296586,324151,"613b55bffc273ab5db7b6d7e"
"24","Mexico","Mexico","no","yes",296592,324157,"613bab4160cd2fe41f9b1a27"
"25","Mexico","Mexico","no","yes",296590,324155,"615e6b52bc950fbab08f1d42"
"26","Mexico","Mexico","no","yes",296589,324154,"61468dd883d26912b23e2779"
"27","Mexico","Mexico","no","yes",296579,324140,"613cd87141656fe4cbc28651"
"28","Mexico","Mexico","no","yes",296570,324130,"cesar calderon"
"29","Mexico","Mexico","no","yes",296567,324125,"61607b003c5d54c3e2fca"
"30","Mexico","Malta","no","yes",296565,324121,"61634ea5478b2d1e072e8353"
